Country,Population(2020),Density(P/Km^2),LandArea,Med.Age,Urban Pop%,World Share,TotalCases,TotalRecovered,ActiveCases,TotalDeaths,NewCases,Death rate,Recovery rate,Infection rate
China,1439323776,153,9388211,38,61 %,18.47 %,90954,86017,301,4636,10,5.389632281990769,94.57198144116806,0.006319217504540132
India,1380004385,464,2973190,28,35 %,17.70 %,26528846,23418523,2811027,299296,243777,1.2780310696793302,88.27569431403084,1.9223740365143838
USA,331002651,36,9147420,38,83 %,4.25 %,33880485,27468831,5807793,603861,17791,2.198349831487186,81.07567232287259,10.235714094023978
Indonesia,273523615,151,1811570,30,56 %,3.51 %,1769940,1629495,91240,49205,5296,3.0196471913077363,92.06498525373742,0.6470885521164234
Pakistan,220892340,287,770880,23,35 %,2.83 %,897468,813855,63436,20177,4007,2.479188553243514,90.68345612322668,0.4062920425398183
Brazil,212559417,25,8358140,33,88 %,2.73 %,16047439,14462432,1136799,448208,71283,3.0991191522974835,90.12299096447725,7.5496250537796685
Nigeria,206139589,226,910770,18,52 %,2.64 %,165944,156462,7415,2067,0,1.3210875484143114,94.28602420093526,0.0805007911410942
Bangladesh,164689383,1265,130170,28,39 %,2.11 %,787726,729798,45580,12348,1028,1.691975039668511,92.64617392342006,0.478310128832045
Russia,145934462,9,16376870,40,74 %,1.87 %,4992554,4610465,263964,118125,8709,2.562105991478083,92.34682288864578,3.4210932301926054
Mexico,128932753,66,1943950,29,84 %,1.65 %,2392744,1909187,262301,221256,2604,11.589016686160129,79.79069219272935,1.855807732578238
Japan,126476461,347,364555,48,92 %,1.62 %,709527,628522,68853,12152,5254,1.9334247647655927,88.58323925657515,0.5609952985638964
Ethiopia,114963588,115,1000000,19,21 %,1.47 %,268901,227080,37753,4068,381,1.7914391403910515,84.44743604523597,0.23390101568507063
Philippines,109581078,368,298170,26,47 %,1.41 %,1178217,1103945,54326,19946,6831,1.8067929108787122,93.69623762006489,1.075201140109244
Egypt,102334404,103,995450,25,43 %,1.31 %,251539,185243,51685,14611,0,7.8874775295152855,73.64384846882591,0.24580101135879973
Vietnam,97338579,314,310070,32,38 %,1.25 %,5086,2721,2324,41,145,1.5067989709665564,53.49980338183248,0.005225060867181963
Turkey,84339067,110,769630,32,76 %,1.08 %,5178648,5013111,119466,46071,8697,0.9190101715282186,96.80347071281925,6.140271862386147
Iran,83992949,52,1628550,32,76 %,1.08 %,2823887,2319746,425760,78381,8005,3.3788613063671624,82.14726722421966,3.3620524503789
Germany,83783942,240,348560,46,76 %,1.07 %,3653019,3387800,177259,87960,6419,2.5963752287620285,92.73973116482559,4.360046702027938
Thailand,69799978,137,510890,40,51 %,0.90 %,126118,82404,42955,759,3052,0.9210717926314257,65.33880968616693,0.18068487070296785
UK,67886011,281,241930,40,83 %,0.87 %,4460446,4299889,32841,127716,2694,2.970216207906762,96.4004272218518,6.57049358814145
France,65273511,119,547557,42,82 %,0.84 %,5593962,5195870,289566,108526,12611,2.088697369256737,92.88354121819205,8.570033868715903
Italy,60461826,206,294140,47,69 %,0.78 %,4188190,3779293,283744,125153,4717,3.311545307548264,90.23690424741953,6.926998863712782
Tanzania,59734218,67,885800,18,37 %,0.77 %,509,183,305,21,0,11.475409836065573,35.952848722986246,0.00085210791576781
South Africa,59308690,49,1213090,28,67 %,0.76 %,1632571,1537430,39369,55772,4236,3.6276123140565746,94.17232083627603,2.7526674421572963
Kenya,53771296,94,569140,20,28 %,0.69 %,168108,114452,50607,3049,573,2.6639988816272324,68.08242320413068,0.3126352022461947
Colombia,50882891,46,1109500,31,80 %,0.65 %,3210787,3011234,115325,84228,18737,2.7971256966413107,93.78491939826591,6.31015049832762
Spain,46754778,94,498800,45,80 %,0.60 %,3636453,3356272,200561,79620,0,2.372274952685599,92.29521184516891,7.777714183564298
Uganda,45741007,229,199810,17,26 %,0.59 %,43370,42429,591,350,0,0.8249074925169106,97.83029744062716,0.09481645211702489
Argentina,45195774,17,2736690,32,93 %,0.58 %,3514683,3083298,357697,73688,32171,2.3899084681402836,87.72620461077145,7.776574420431433
Algeria,43851044,18,2381740,29,73 %,0.56 %,126434,88066,34963,3405,0,3.86641836804215,69.65373238211241,0.2883260886559508
Sudan,43849260,25,1765048,20,35 %,0.56 %,35071,27949,4554,2568,0,9.188164156141545,79.69262353511448,0.07998082521803104
